,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Houston Astros,Seattle Mariners,0.73888033850336,0.26111966149664,-175.0,145.0,0.6363636363636364,0.40816326530612246,0.10251670213972364,-0.14704360380948245,0.028192093088423992,0,3600.7787055327776,0.0
1,Colorado Rockies,San Francisco Giants,0.39909802514847464,0.6009019748515254,120.0,-145.0,0.45454545454545453,0.5918367346938775,-0.055447429396979886,0.00906524015764787,0.0,0.002220983838623726,0.0,283.6707188205382
2,Arizona Diamondbacks,Texas Rangers,0.3554781809113231,0.6445218190886769,-160.0,135.0,0.6153846153846154,0.425531914893617,-0.2599064344732923,0.21898990419505987,0.0,0.03812046480432524,0.0,4868.860126202832
3,Cleveland Indians,Minnesota Twins,0.6247778774869643,0.37522212251303566,-135.0,110.0,0.574468085106383,0.4761904761904761,0.05030979238058131,-0.10096835367744045,0.011822801209436615,0,1510.0436388728726,0.0
4,Pittsburgh Pirates,Detroit Tigers,0.4721938614261588,0.5278061385738412,-125.0,105.0,0.5555555555555556,0.4878048780487805,-0.08336169412939676,0.0400012605250607,0.0,0.0078097699120356565,0.0,997.4872424749301
5,Miami Marlins,New York Mets,0.7200769816924265,0.2799230183075735,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.19626745788290267,-0.24388650550195035,0.041216166155409566,0,5264.252389867376,0.0
6,Baltimore Orioles,Kansas City Royals,0.469313117757553,0.530686882242447,110.0,-135.0,0.4761904761904761,0.574468085106383,-0.006877358432923086,-0.04378120286393605,0.0,0,0.0,0.0
7,New York Yankees,Toronto Blue Jays,0.3673373129473819,0.6326626870526181,-125.0,105.0,0.5555555555555556,0.4878048780487805,-0.18821824260817366,0.1448578090038376,0.0,0.028281762710273058,0.0,3612.231578644206
8,Boston Red Sox,Tampa Bay Rays,0.5931446252768039,0.4068553747231961,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.058260904346571385,-0.10533974722802342,0.012526094434512835,0,1599.8703594592828,0.0
9,Atlanta Braves,Washington Nationals,0.5973350971511626,0.4026649028488374,-200.0,165.0,0.6666666666666665,0.37735849056603776,-0.0693315695155039,0.025306412282799617,0.0,0.004064363184813275,0.0,519.1126590539059
10,Chicago Cubs,Cincinnati Reds,0.5183990991528211,0.4816009008471789,100.0,-120.0,0.5,0.5454545454545454,0.01839909915282112,-0.06385364460736653,0.0036798198305642237,0,469.99762821915436,0.0
11,Milwaukee Brewers,Philadelphia Phillies,0.6569464567884951,0.34305354321150494,-160.0,135.0,0.6153846153846154,0.425531914893617,0.04156184140387964,-0.08247837168211208,0.010806078765008716,0,1380.1847981032083,0.0
12,St. Louis Cardinals,Los Angeles Dodgers,0.37110487543408205,0.628895124565918,105.0,-130.0,0.4878048780487805,0.5652173913043478,-0.11670000261469843,0.06367773326157022,0.0,0.014645878650161145,0.0,1870.6155588345318
13,Oakland Athletics,Chicago White Sox,0.5681172674384037,0.43188273256159626,-175.0,145.0,0.6363636363636364,0.40816326530612246,-0.06824636892523261,0.023719467255473803,0.0,0.004007772053511094,0.0,511.88466999059744
