,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Cleveland Indians,Chicago White Sox,0.383358690602991,0.616641309397009,110.0,-135.0,0.4761904761904761,0.574468085106383,-0.09283178558748512,0.04217322429062598,0,0.009910707708297115,0.0,1512.0766750548908
1,Milwaukee Brewers,St. Louis Cardinals,0.46751205571085597,0.532487944289144,-120.0,100.0,0.5454545454545454,0.5,-0.07794248974368945,0.03248794428914403,0,0.006497588857828807,0.0,991.337132038941
2,Colorado Rockies,Los Angeles Dodgers,0.3413592601261879,0.6586407398738121,195.0,-250.0,0.33898305084745756,0.7142857142857143,0.0023762092787303346,-0.05564497441190219,0.0003594778139617568,0.0,54.84553007614524,0.0
3,Oakland Athletics,Seattle Mariners,0.6328702635305028,0.3671297364694972,-145.0,120.0,0.5918367346938775,0.45454545454545453,0.041033528836625255,-0.08741571807595733,0.010053214564973188,0.0,1533.8189461779593,0.0
4,Arizona Diamondbacks,Atlanta Braves,0.1670563125838388,0.8329436874161612,150.0,-185.0,0.4,0.6491228070175439,-0.23294368741616123,0.18382088039861733,0,0.04365745909467161,0.0,6660.818534074048
5,San Diego Padres,San Francisco Giants,0.2643362281474538,0.7356637718525463,-115.0,-105.0,0.5348837209302325,0.5121951219512195,-0.27054749278277873,0.22346864990132675,0,0.04581107322977199,0.0,6989.395442666312
7,Philadelphia Phillies,Pittsburgh Pirates,0.7857078882388197,0.21429211176118035,-250.0,200.0,0.7142857142857143,0.33333333333333326,0.07142217395310535,-0.11904122157215291,0.024997760883586878,0.0,3813.90837800885,0.0
8,Minnesota Twins,Toronto Blue Jays,0.34830697622691503,0.6516930237730849,125.0,-150.0,0.4444444444444444,0.6,-0.09613746821752939,0.051693023773084934,0,0.012923255943271223,0.0,1971.7011592648905
9,Los Angeles Angels,Houston Astros,0.3381251477785026,0.6618748522214974,150.0,-185.0,0.4,0.6491228070175439,-0.06187485222149741,0.012752045203953566,0,0.0036343328831267745,0.0,554.490167978652
