,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,St. Louis Cardinals,Los Angeles Dodgers,0.4545874233906101,0.5454125766093899,135.0,-165.0,0.425531914893617,0.6226415094339622,0.029055508496993065,-0.07722893282457233,0.005057810738365461,0,709.1303545725294,0.0
1,Oakland Athletics,Chicago White Sox,0.5298034638253268,0.47019653617467316,-140.0,115.0,0.5833333333333334,0.46511627906976744,-0.05352986950800653,0.005080257104905728,0.0,0.0009497871978736706,0.0,133.164914077878
2,Cleveland Indians,Minnesota Twins,0.6116504597188444,0.38834954028115565,-150.0,125.0,0.6,0.4444444444444444,0.011650459718844375,-0.05609490416328877,0.0029126149297110855,0,408.36317622014275,0.0
3,Miami Marlins,New York Mets,0.5138000599836196,0.48619994001638045,150.0,-185.0,0.4,0.6491228070175439,0.11380005998361953,-0.16292286700116343,0.018966676663936588,0,2659.2229016672295,0.0
4,Baltimore Orioles,Kansas City Royals,0.4851234054830254,0.5148765945169747,-115.0,-105.0,0.5348837209302325,0.5121951219512195,-0.049760315447207104,0.0026814725657551275,0.0,0.000549701875979799,0.0,77.07095152174772
5,Philadelphia Phillies,Colorado Rockies,0.5519828405288444,0.4480171594711556,-185.0,150.0,0.6491228070175439,0.4,-0.09713996648869949,0.04801715947115559,0.0,0.008002859911859273,0.0,1122.0409739422294
6,New York Yankees,Toronto Blue Jays,0.32077038645170325,0.6792296135482967,-115.0,-105.0,0.5348837209302325,0.5121951219512195,-0.21411333447852926,0.16703449159707717,0.0,0.03424207077740082,0.0,4800.909533345482
7,Atlanta Braves,Washington Nationals,0.5573977790056701,0.4426022209943299,-225.0,180.0,0.6923076923076923,0.35714285714285715,-0.13490991330202218,0.08545936385147274,0.0,0.013293678821340204,0.0,1863.8402391460033
