,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,New York Yankees,Minnesota Twins,0.5384147945,0.4615852055,-190,155,0.6551724138,0.3921568627,-0.1167576193,0.06942834272,0,0.01142208219,0,1643.729004
1,Washington Nationals,Miami Marlins,0.5180264673,0.4819735327,-115,-105,0.5348837209,0.512195122,-0.01685725363,-0.03022158925,0,0,0,0
3,New York Mets,St. Louis Cardinals,0.323513896,0.676486104,-105,-115,0.512195122,0.5348837209,-0.1886812259,0.141602383,0,0.03044451235,0,4381.208884
4,Texas Rangers,Houston Astros,0.406305313,0.593694687,170,-200,0.3703703704,0.6666666667,0.03593494268,-0.07297197972,0.005707314425,0,821.3282043,0
5,San Francisco Giants,San Diego Padres,0.5648676524,0.4351323476,-115,-105,0.5348837209,0.512195122,0.02998393148,-0.07706277436,0.006446545268,0,927.7094364,0
6,Los Angeles Dodgers,Arizona Diamondbacks,0.8387243029,0.1612756971,-275,220,0.7333333333,0.3125,0.1053909696,-0.1512243029,0.03952161358,0,5687.476368,0
7,Seattle Mariners,Boston Red Sox,0.3509562413,0.6490437587,105,-125,0.487804878,0.5555555556,-0.1368486368,0.09348820317,0,0.02103484571,0,3027.082577
