,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Atlanta Braves,Colorado Rockies,0.5278665978205894,0.4721334021794106,-175.0,145.0,0.6363636363636364,0.4081632653061225,-0.10849703854304693,0.06397013687328812,0.0,0.01080874726479696,0.0,1718.8286075425422
1,Kansas City Royals,Oakland Athletics,0.4276434177782369,0.5723565822217631,105.0,-130.0,0.4878048780487805,0.5652173913043478,-0.06016146027054359,0.007139190917415328,0.0,0.0016420139110055211,0.0,261.11633615591995
2,Baltimore Orioles,New York Yankees,0.38248524133767536,0.6175147586623246,200.0,-250.0,0.3333333333333333,0.7142857142857143,0.04915190800434209,-0.09677095562338968,0.007372786200651305,0.0,1172.4352071999715,0.0
