,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Minnesota Twins,Cleveland Indians,0.5288330060937927,0.4711669939062073,-135.0,110.0,0.574468085106383,0.4761904761904761,-0.04563507901259034,-0.005023482284268799,0,0,0.0,0.0
1,Pittsburgh Pirates,Cincinnati Reds,0.38974920702510124,0.6102507929748988,135.0,-165.0,0.425531914893617,0.6226415094339622,-0.035782707868515784,-0.012390716459063422,0,0,0.0,0.0
2,Detroit Tigers,Milwaukee Brewers,0.36379065635844215,0.6362093436415579,170.0,-200.0,0.3703703703703704,0.6666666666666665,-0.0065797140119282505,-0.030457323025108618,0,0,0.0,0.0
3,Philadelphia Phillies,Chicago Cubs,0.6437175450038589,0.3562824549961411,-200.0,165.0,0.6666666666666665,0.37735849056603776,-0.022949121662807603,-0.02107603556989668,0,0,0.0,0.0
4,Baltimore Orioles,New York Yankees,0.2839079797243912,0.7160920202756088,260.0,-350.0,0.2777777777777778,0.7777777777777779,0.0061302019466134006,-0.06168575750216909,0.0008487971926080101,0,123.16047264742227,0.0
5,Toronto Blue Jays,Tampa Bay Rays,0.7222747786853523,0.2777252213146477,-140.0,115.0,0.5833333333333334,0.46511627906976744,0.1389414453520189,-0.18739105775511972,0.03334594688448455,0,4838.496892938708,0.0
6,New York Mets,St. Louis Cardinals,0.5200145958813247,0.4799854041186753,-165.0,135.0,0.6226415094339622,0.425531914893617,-0.10262691355263753,0.05445348922505827,0,0.009478940716954588,0.0,1375.3942980301106
7,Atlanta Braves,Colorado Rockies,0.5432333640802012,0.4567666359197988,-175.0,145.0,0.6363636363636364,0.40816326530612246,-0.09313027228343518,0.04860337061367637,0,0.008212293655414284,0.0,1191.6038094006126
9,Texas Rangers,Houston Astros,0.3152810356798524,0.6847189643201477,185.0,-225.0,0.3508771929824561,0.6923076923076923,-0.03559615730260374,-0.007588727987544619,0,0,0.0,0.0
10,Kansas City Royals,Oakland Athletics,0.3557260809133169,0.6442739190866831,145.0,-175.0,0.40816326530612246,0.6363636363636364,-0.052437184392805536,0.007910282723046724,0,0.002175327748837838,0.0,315.6400563563703
11,San Francisco Giants,San Diego Padres,0.8023308825944474,0.1976691174055526,-160.0,135.0,0.6153846153846154,0.425531914893617,0.18694626720983198,-0.22786279748806443,0.04860602947455632,0,7052.734876758122,0.0
12,Los Angeles Dodgers,Arizona Diamondbacks,0.8348987474052445,0.1651012525947555,-250.0,195.0,0.7142857142857143,0.33898305084745756,0.1206130331195302,-0.17388179825270206,0.04221456159183558,0,6125.332886975342,0.0
13,Seattle Mariners,Boston Red Sox,0.28504214972913616,0.7149578502708638,120.0,-145.0,0.45454545454545453,0.5918367346938775,-0.16950330481631837,0.12312111557698624,0,0.030164673316361624,0.0,4376.894098204071
