,Date,Away_Team,Home_Team,Away_Prob_Athletic,Home_Prob_Athletic,Away_Prob_538,Home_Prob_538,Home_ML,Away_ML,Home_Prob_Implied,Away_Prob_Implied,Home_KC_Athletic,Away_KC_Athletic,Home_KC_538,Away_KC_538,Home_Combined,Away_Combined,Bet_Athletic,Bet_538,Bet_Combined
0,2021-09-21,White Sox,Tigers,0.6162,0.38380000000000003,0.5,0.5,135.0,-160.0,0.425531914893617,0.6153846153846154,0.0,0.0002119999999999944,0.012962962962962964,0.0,0,0,22.130679999999415,1406.5851851851853,0.0
1,2021-09-21,Royals,Indians,0.4694,0.5306000000000001,0.39,0.61,-130.0,105.0,0.5652173913043478,0.4878048780487805,0.0,0.0,0.010299999999999998,0.0,0,0,0.0,1117.6323999999997,0.0
2,2021-09-21,Pirates,Reds,0.384,0.616,0.34,0.66,-185.0,150.0,0.6491228070175439,0.4,0.0,0.0,0.0031000000000000094,0.0,0,0,0.0,336.374800000001,0.0
3,2021-09-21,Rangers,Yankees,0.3091,0.6909000000000001,0.35,0.65,-275.0,220.0,0.7333333333333333,0.3125,0.0,0.0,0.0,0.005454545454545453,0,0,0.0,591.8618181818181,0.0
4,2021-09-21,Mets,Red Sox,0.4004,0.5996,0.46,0.54,-145.0,120.0,0.5918367346938775,0.45454545454545453,0.0019020000000000107,0.0,0.0,0.0010000000000000009,0,0,198.5497800000011,108.5080000000001,0.0
5,2021-09-21,Blue Jays,Rays,0.5099,0.4901,0.43,0.57,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.0,0.0,0.007549999999999992,0.0,0,0,0.0,819.2353999999991,0.0
6,2021-09-21,Twins,Cubs,0.5052,0.49479999999999996,0.44,0.56,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.0,0.0,0.005400000000000008,0.0,0,0,0.0,585.9432000000008,0.0
7,2021-09-21,Dodgers,Rockies,0.6456000000000001,0.3544,0.64,0.36,165.0,-200.0,0.37735849056603776,0.6666666666666665,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
8,2021-09-21,Mariners,Athletics,0.46380000000000005,0.5362,0.48,0.52,-120.0,100.0,0.5454545454545454,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
