,Date,Away_Team,Home_Team,Away_Prob_Athletic,Home_Prob_Athletic,Away_Prob_538,Home_Prob_538,Home_ML,Away_ML,Home_Prob_Implied,Away_Prob_Implied,Home_KC_Athletic,Away_KC_Athletic,Home_KC_538,Away_KC_538,Home_Combined,Away_Combined,Bet_Athletic,Bet_538,Bet_Combined
0,2021-09-19,Indians,Yankees,0.2047,0.7953,0.33,0.67,-300.0,240.0,0.75,0.29411764705882354,0.018120000000000004,0.0,0.0,0.005083333333333338,0.0,0.0,1955.0030400000005,544.5470000000005,0.0
1,2021-09-19,Rockies,Nationals,0.5423,0.45770000000000005,0.48,0.52,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.0,0.006171499999999995,0.0,0.0,0.0,0.0,665.8554779999994,0.0,0.0
2,2021-09-19,Twins,Blue Jays,0.40020000000000006,0.5998,0.33,0.67,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.0,0.00669777777777779,0.0,0.0,0.0,0.0,722.6366400000013,0.0,0.0
3,2021-09-19,Orioles,Red Sox,0.2839,0.7161,0.27,0.73,-300.0,240.0,0.75,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-09-19,Dodgers,Reds,0.6607,0.3393,0.63,0.37,165.0,-200.0,0.37735849056603776,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-09-19,Tigers,Rays,0.2929,0.7071,0.31,0.69,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.004807499999999983,0.0,0.0,0.0,0.0,0.0,518.6907899999982,0.0,0.0
6,2021-09-19,Pirates,Marlins,0.379,0.621,0.34,0.66,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.0,0.0034000000000000015,0.0,0.0,0.0,0.0,366.8328000000002,0.0,0.0
7,2021-09-19,Mariners,Royals,0.5223,0.4777,0.54,0.46,115.0,-140.0,0.46511627906976744,0.5833333333333334,0.002352608695652169,0.0,0.0,0.0,0.0,0.0,253.82765739130383,0.0,0.0
8,2021-09-19,Cubs,Brewers,0.3273,0.6727,0.36,0.64,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.0,0.0,0.0,0.0004444444444444448,0.0,0.0,0.0,47.6106666666667,0.0
9,2021-09-19,Diamondbacks,Astros,0.3477,0.6523,0.35,0.65,-250.0,200.0,0.7142857142857143,0.33333333333333326,0.0,0.0021550000000000015,0.0,0.0024999999999999966,0.0,0.002327499999999999,232.50726000000017,267.80999999999966,241.28028749999987
10,2021-09-19,Padres,Cardinals,0.5101,0.4899,0.45,0.55,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.0,0.0,0.0032500000000000072,0.0,0.0,0.0,0.0,348.15300000000076,0.0
11,2021-09-19,White Sox,Rangers,0.6437999999999999,0.35619999999999996,0.63,0.37,195.0,-250.0,0.33898305084745756,0.7142857142857143,0.0026046153846153793,0.0,0.0046923076923076935,0.0,0.003648461538461536,0.0,281.0171630769225,502.65876923076934,378.2177653846152
12,2021-09-19,Braves,Giants,0.5146000000000001,0.4854,0.45,0.55,-120.0,100.0,0.5454545454545454,0.5,0.0,0.0029200000000000116,0.0010000000000000098,0.0,0.0,0.0,315.04464000000127,107.12400000000105,0.0
13,2021-09-19,Athletics,Angels,0.5197999999999999,0.4802,0.51,0.49,110.0,-135.0,0.4761904761904761,0.574468085106383,0.0007654545454545438,0.0,0.0026363636363636385,0.0,0.001700909090909091,0.0,82.58642181818163,282.4178181818184,176.32474090909093
14,2021-09-19,Phillies,Mets,0.494,0.506,0.45,0.55,-120.0,100.0,0.5454545454545454,0.5,0.0,0.0,0.0010000000000000098,0.0,0.0,0.0,0.0,107.12400000000105,0.0
